mode,num_samples,hidden_dims,weight_decay,noise_std,layer_norm,best_test_mse,best_epoch,final_train_mse,final_test_mse,curve_path
noise,100000,[],0.0,0.1,False,3.806670762634967e-12,19,0.0006830758869647979,0.000622977330442518,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[]__wd=0.0__noise=0.1__ln=False.png
noise,100000,[],0.0,1.0,False,3.247855239196795e-11,12,0.006492375010251999,0.005896093039214611,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[]__wd=0.0__noise=1.0__ln=False.png
noise,20000,[],0.0,1.0,False,1.6275233619467143e-08,50,2.4159196641448943e-08,1.6275233619467143e-08,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[]__wd=0.0__noise=1.0__ln=False.png
noise,20000,[],0.0,0.1,False,1.9378235174372096e-06,50,1.3896448654122651e-06,1.9378235174372096e-06,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[]__wd=0.0__noise=0.1__ln=False.png
noise,100000,[],0.0001,0.1,False,0.0012109984690323473,10,0.001958840082772076,0.0019612207274883986,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[]__wd=0.0001__noise=0.1__ln=False.png
noise,20000,[],0.0001,0.1,False,0.0012573749963194132,48,0.0012218718891963362,0.0012605466125532984,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[]__wd=0.0001__noise=0.1__ln=False.png
noise,100000,[],0.0001,1.0,False,0.0017490076905116439,9,0.008342587238550187,0.008229579716920853,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
noise,20000,[],0.0001,1.0,False,0.0018897947426885367,43,0.001996022680774331,0.002083994161337614,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
noise,100000,"[2048, 1024]",0.0001,0.1,False,0.017030656558275223,48,0.016723475804924965,0.018162358638644217,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[2048,1024]__wd=0.0001__noise=0.1__ln=False.png"
noise,100000,"[2048, 1024]",0.0,0.1,False,0.031829102605581285,47,0.02701188403069973,0.032840675574541095,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[2048,1024]__wd=0.0__noise=0.1__ln=False.png"
noise,100000,"[2048, 1024]",0.0001,1.0,False,0.04377586987614632,48,0.04118897125720978,0.04384272193312645,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
noise,20000,"[2048, 1024]",0.0001,0.1,False,0.05280426451563835,36,0.028778821110725404,0.055502392023801805,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[2048,1024]__wd=0.0001__noise=0.1__ln=False.png"
noise,20000,"[2048, 1024]",0.0,0.1,False,0.058239574730396274,41,0.022333660125732423,0.059101383477449414,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[2048,1024]__wd=0.0__noise=0.1__ln=False.png"
noise,100000,"[2048, 1024]",0.0,1.0,False,0.06218337465524673,29,0.243168351149559,0.2746009898662567,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
noise,20000,"[2048, 1024]",0.0001,1.0,False,0.09671705615520478,35,0.052270359456539156,0.09852997177839279,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
noise,20000,"[2048, 1024]",0.0,1.0,False,0.15512173140048982,26,0.03921276172995567,0.15718041479587555,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
noise,2000,"[2048, 1024]",0.0001,0.1,False,0.2501663088798523,50,0.02831075169146061,0.2501663088798523,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[2048,1024]__wd=0.0001__noise=0.1__ln=False.png"
noise,2000,"[2048, 1024]",0.0,0.1,False,0.2572887372970581,50,0.008597192317247392,0.2572887372970581,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[2048,1024]__wd=0.0__noise=0.1__ln=False.png"
noise,100000,[256],0.0,0.1,False,0.6268964591026306,49,0.5923919556617737,0.6275615196228027,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[256]__wd=0.0__noise=0.1__ln=False.png
noise,20000,[256],0.0,0.1,False,0.6283732895851135,48,0.5489149527549744,0.6284600105285645,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[256]__wd=0.0__noise=0.1__ln=False.png
noise,100000,"[512, 256]",0.0,0.1,False,0.6290069738388061,50,0.5941872883796692,0.6290069738388061,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[512,256]__wd=0.0__noise=0.1__ln=False.png"
noise,100000,"[512, 256]",0.0001,0.1,False,0.6316351150512696,49,0.597728984451294,0.6320484459877014,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[512,256]__wd=0.0001__noise=0.1__ln=False.png"
noise,100000,[256],0.0,1.0,False,0.6333568472862243,50,0.5989958244323731,0.6333568472862243,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
noise,100000,"[512, 256]",0.0,1.0,False,0.6336970058441163,50,0.5979618268966674,0.6336970058441163,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
noise,100000,[256],0.0001,0.1,False,0.6350420291900635,15,0.6023577311515808,0.6354070444107056,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[256]__wd=0.0001__noise=0.1__ln=False.png
noise,20000,[256],0.0001,0.1,False,0.6352142081260681,49,0.5558389048576355,0.6357649307250977,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[256]__wd=0.0001__noise=0.1__ln=False.png
noise,20000,"[512, 256]",0.0,0.1,False,0.6358157005310059,48,0.5555322275161744,0.6358726267814636,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[512,256]__wd=0.0__noise=0.1__ln=False.png"
noise,2000,"[2048, 1024]",0.0001,1.0,False,0.6368499660491943,50,0.020022795349359513,0.6368499660491943,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
noise,20000,[256],0.0,1.0,False,0.6377650270462036,50,0.5566947121620178,0.6377650270462036,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
noise,100000,"[512, 256]",0.0001,1.0,False,0.6384627608299256,43,0.6051961629867554,0.6390697964668274,"./logs_mlp_identity/curves/mode=noise__n=100000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
noise,20000,"[512, 256]",0.0001,0.1,False,0.6388031096458435,37,0.5598911166191101,0.6396127996444703,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[512,256]__wd=0.0001__noise=0.1__ln=False.png"
noise,100000,[256],0.0001,1.0,False,0.6410514313697815,10,0.6082592326164246,0.6416717301368713,./logs_mlp_identity/curves/mode=noise__n=100000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
noise,20000,[256],0.0001,1.0,False,0.641675476551056,50,0.561965398311615,0.641675476551056,./logs_mlp_identity/curves/mode=noise__n=20000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
noise,20000,"[512, 256]",0.0,1.0,False,0.6457421479225158,50,0.5589362535476684,0.6457421479225158,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
noise,20000,"[512, 256]",0.0001,1.0,False,0.65403600025177,42,0.5690501523017883,0.6550668187141419,"./logs_mlp_identity/curves/mode=noise__n=20000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
noise,2000,"[2048, 1024]",0.0,1.0,False,0.6770991492271423,50,0.013415131829679012,0.6770991492271423,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
noise,2000,"[512, 256]",0.0001,0.1,False,0.6985904431343078,50,0.41534777998924255,0.6985904431343078,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[512,256]__wd=0.0001__noise=0.1__ln=False.png"
noise,2000,"[512, 256]",0.0,0.1,False,0.7245389366149902,37,0.41762935400009155,0.7257856130599976,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[512,256]__wd=0.0__noise=0.1__ln=False.png"
noise,2000,[256],0.0001,0.1,False,0.7247875857353211,50,0.40782145261764524,0.7247875857353211,./logs_mlp_identity/curves/mode=noise__n=2000__hd=[256]__wd=0.0001__noise=0.1__ln=False.png
noise,2000,[256],0.0,0.1,False,0.7422620034217835,31,0.3992401683330536,0.7439868664741516,./logs_mlp_identity/curves/mode=noise__n=2000__hd=[256]__wd=0.0__noise=0.1__ln=False.png
noise,2000,"[512, 256]",0.0001,1.0,False,0.8372416687011719,50,0.41940582990646363,0.8372416687011719,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
noise,2000,[],0.0001,0.1,False,0.8615717625617981,50,0.18728617310523987,0.8615717625617981,./logs_mlp_identity/curves/mode=noise__n=2000__hd=[]__wd=0.0001__noise=0.1__ln=False.png
noise,2000,"[512, 256]",0.0,1.0,False,0.8856278967857361,50,0.4203280580043793,0.8856278967857361,"./logs_mlp_identity/curves/mode=noise__n=2000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
noise,2000,[256],0.0001,1.0,False,0.8977660799026489,27,0.4142701542377472,0.8992050051689148,./logs_mlp_identity/curves/mode=noise__n=2000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
noise,2000,[256],0.0,1.0,False,0.9218990087509156,14,0.41566708564758303,0.9786741065979004,./logs_mlp_identity/curves/mode=noise__n=2000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
